processing_index,year,day,'b01372058','b01463500','b01578310','b01646580','b02226160','b02359170','b02470500','b03303280','b03374100','b03378500','b03609750','b03612500','b04264331','b05420500','b05586100','b05587455','b06338490','b06440000','b06467500','b06610000','b06805500','b06934500','b07022000','b07263620','b07288955','b07373420','b07374000','b07374525','b07381495','b07381590','b07381600','b08012150','b08116650','b08475000','b09522000','b11303500','b11447650','b14246900','b15565447','b32202309'
"11","2009","11","265.010362542924","268.241707023476","269.191934337753","275.356255697156","287.679743190183","270.092083151027","284.590878746132","272.727874343526","271.949848074858","271.17483490077","270.092083151027","274.554952611533","267.656331613714","260.95260414255","267.748950043306","263.550625919056","267.299952893322","267.483855613346","267.795685863852","267.407814660834","269.467959073104","270.092083151027","267.517981958732","273.539587829402","280.056962526584","270.324777761428","270.32572318325","270.337283771674","277.250716281527","286.132849233567","277.845370697253","284.196922237145","277.590723419589","278.01633253126","269.750736962231","276.116055996352","275.442959596949","271.579568565006","239.460055937837","270.092083151027"
"12","2009","12","263.474288015854","264.880443914526","266.567335896249","272.750546280879","279.856245392328","270.234457048202","277.147601236849","271.829496009442","272.571535461913","271.513407749662","270.234457048202","272.89315612199","267.842286755733","259.350544644598","267.801194680208","262.718526910994","268.584442022064","268.580366334728","268.739686791594","268.201616627299","270.332408630842","270.234457048202","268.011512148498","274.970436553269","276.706355433404","270.378574145536","270.381285809546","270.387070624042","278.040603163023","281.09140359099","278.226670993721","278.777025304687","278.915734916021","277.989982890816","271.877409761732","277.882855025828","278.522907478659","271.849298931268","243.182927259583","270.234457048202"
"13","2009","13","264.659671761289","267.205648340166","268.860715100128","273.238645423058","278.619387083569","267.791973127729","276.254671824618","271.773103948704","271.896776760671","271.118910778775","267.791973127729","272.557083351276","266.235079142478","253.748568824795","267.829315323011","258.895869886831","267.972815225073","267.027194286452","266.566135405053","265.107093108696","267.085024937154","267.791973127729","264.689303052769","272.727817467056","276.61543180904","267.979288484878","267.977740532398","267.995197074881","277.344214747863","281.161231640936","277.595014383575","278.292996600955","278.937745058452","278.059831901171","272.747766414637","278.845429006236","278.687001776343","271.092772768895","251.160300304416","267.791973127729"
"14","2009","14","264.406319728768","266.232636421616","265.784298755005","270.79582194242","276.826448801983","266.862379850244","275.381285406231","267.517036311002","266.762058571162","265.502597836646","266.862379850244","268.832481082185","260.864436491196","250.783925536365","261.272632493693","255.318381604543","266.799226068138","265.780796232954","265.669730348787","264.340352085137","269.57783548795","266.862379850244","264.009889199163","274.478578409996","275.167711836416","267.040398869256","267.041704210885","267.057031447716","276.209293119131","279.717247557243","276.435712914285","277.370186303276","277.832313086849","277.916735908514","272.233968426609","279.072120798973","278.154719266904","270.116913926493","260.038249858044","266.862379850244"
"15","2009","15","259.408572162458","263.702093692108","263.475056727079","269.017123056914","275.728876028875","261.924930245738","274.009392565163","266.357392023882","262.992750018329","261.435024593071","261.924930245738","266.93264290122","260.523119418328","244.577636086528","255.65010849068","248.193097696941","263.480072546716","261.296747474699","260.618858318091","258.657249964746","265.859478141102","261.924930245738","257.77646482016","271.012696816451","273.415677322647","262.174179020324","262.174715202967","262.201314360443","274.984144701652","279.837885229001","275.293963330343","277.143759455499","277.494858968066","279.027135558034","272.11625484056","278.764516191164","278.028113582566","269.613856716146","266.854755490807","261.924930245738"
"16","2009","16","257.010204698006","260.229643023455","259.162159536658","263.059299407208","272.659475679739","261.911666022525","269.980526744268","259.062365980784","256.783411409099","255.411158315999","261.911666022525","260.28085374159","259.568411289888","245.454201962728","252.449054272685","248.11787605241","267.651857831029","266.748834063626","266.354544914013","264.56520123986","267.646472521941","261.911666022525","260.562796763408","268.90027107805","269.878784673599","262.097348604814","262.098221666634","262.116134256022","271.410831280108","278.10850829179","271.843130260112","275.613900695863","275.648281784813","280.525267417081","272.230259229327","278.914778293761","278.111162683239","268.21435925999","266.569817315358","261.911666022525"
"17","2009","17","259.063019409604","259.59498383366","259.049362943291","261.123344817227","272.139921077764","267.674404057371","271.227159171469","259.716593444546","262.384571743492","262.01475818578","267.674404057371","262.96169483491","262.070036183912","259.618333251968","262.871162618821","261.370110732924","268.699440733816","269.055275225727","269.155280994371","268.347902916801","271.223562249413","267.674404057371","267.35223690106","274.124287439569","273.349177884788","267.811382316741","267.817228438036","267.822158871365","277.325585506998","281.845939004767","277.596664312869","280.243874165522","281.832317607861","281.685207440003","272.544407063242","278.465184618641","277.071209780616","267.468237809114","267.208612672981","267.674404057371"
"18","2009","18","263.904918166188","265.063373263671","264.902853712354","268.488195328654","275.592283084391","271.005849984411","278.960541351555","269.870668386693","270.471734399497","269.580693873432","271.005849984411","271.285079218525","266.228218910353","262.703009508831","267.435802597222","264.880979253688","269.133228758748","269.570867911458","269.780109398211","269.523196269757","271.714819662394","271.005849984411","269.358448952795","276.318897997893","281.064691645635","271.246217367827","271.250803329709","271.258680879315","282.072589995616","289.416460849586","282.539589144735","288.430030650397","284.097535630074","283.241911572183","272.541507819589","278.245608142246","276.534330080419","267.102697211027","263.789976716335","271.005849984411"
"19","2009","19","267.811622800228","268.083486629002","267.184019401171","270.89808086738","278.776348623248","271.07004210534","277.867540456868","268.449054388096","269.074482845942","268.083481704038","271.07004210534","270.133119667186","265.804344770848","262.627338014283","267.025889737752","264.479488043872","269.980365107345","270.249306581503","270.430363198811","269.484466973194","273.382737916552","271.07004210534","269.499727707462","278.016696577093","277.291837790848","271.222899256446","271.223865714919","271.23344711429","280.784128078138","283.553129189447","280.963157579882","281.25759165164","283.421897102069","282.949330718683","273.068974994918","278.314811702911","276.068100614014","267.587266282165","264.224188276878","271.07004210534"
"20","2009","20","265.751235204383","266.826914517785","265.968732101068","268.550487437608","276.677659642021","270.031099553079","274.748812483276","266.169776116236","267.827696027534","267.570131144046","270.031099553079","268.013101880934","264.32038154811","262.833957309377","266.819769769169","264.3196753094","269.220822396972","269.336006981183","269.527062436207","268.671940164063","272.63472965443","270.031099553079","268.828716422566","276.821862835738","274.924200068114","270.149665286972","270.149907425834","270.160068592051","278.208633908561","279.803161658183","278.306389804704","277.536664428376","282.20972654364","282.488905889954","273.710083543652","278.718782244912","275.628331784623","267.595736050172","260.355705718717","270.031099553079"
"21","2009","21","262.571008237283","264.113219056053","263.894170721755","267.667579230905","273.35566929976","269.738319399595","274.737903067671","265.697555995088","268.188426605842","267.518391976979","269.738319399595","267.941471378523","264.862044030997","260.802260038917","264.980238979186","262.199205085954","269.345547259188","269.431630538204","269.704930701386","268.744019530745","273.256647572019","269.738319399595","268.297268178205","276.916564526993","275.709457328688","269.873690480605","269.874973509135","269.884157632848","278.270273869483","280.133521740243","278.379095300364","278.057604739376","281.340953856742","282.142651734419","274.85855192491","280.474631014045","277.31599028722","266.71334238102","252.605148536583","269.738319399595"
"22","2009","22","264.761860871492","264.975118539276","265.77120935523","268.859322555265","273.30802647001","270.667124029381","274.782129986617","268.047050186178","269.772815635404","268.907285953149","270.667124029381","269.721499787634","267.544085420789","260.725390439074","266.918560651679","263.269873174591","268.941202535218","269.084282810413","269.432758650855","268.456078658461","274.115400927352","270.667124029381","268.891914941598","277.837529603911","277.408563565888","270.822141718778","270.822109820682","270.834049299399","279.985963039428","283.199876826304","280.181609579795","281.314674046924","284.001852829078","284.103678261529","277.099995641582","281.284148781712","278.788175565654","268.021918025841","246.483760904812","270.667124029381"
"23","2009","23","267.038864819565","268.107804538906","268.132006825212","272.264903183419","277.10266761876","270.765253199196","279.749754467085","272.315743366759","273.598587736896","272.159872904045","270.765253199196","274.16644215357","266.934890900965","260.592710494051","268.151556602672","263.360844924568","263.964144276703","264.204545431568","264.846929702989","264.454740420301","273.767594228065","270.765253199196","267.119471683923","279.249099977693","283.248766516872","271.029076438245","271.035012837982","271.050525172734","283.926352324586","288.253456788913","284.207149919781","286.803482743709","289.636115497057","287.610135144148","278.859342272177","280.620942805542","277.909784908262","267.376393103759","245.380228367495","270.765253199196"
"24","2009","24","267.391927892169","269.850017932801","269.533239099251","274.43809762744","284.135030159695","265.4644359356","283.397373870848","272.319106713904","270.718864742626","269.001068924413","265.4644359356","273.946071898209","262.702072613517","250.717110268981","262.433881127255","254.969338552674","259.151725596234","258.838484348267","259.194446236385","258.413649646239","267.091886776343","265.4644359356","260.393358103672","273.145873599806","281.444260140827","265.814096743234","265.821067273831","265.839862994771","279.853529017883","289.488604421109","280.495362455323","288.464523214609","282.610467890146","286.336933337065","278.404927059109","280.819895895261","279.018940993539","266.796342865468","248.38406896151","265.4644359356"
"25","2009","25","258.982672404176","261.453389762271","262.814970375133","269.945260325059","284.099231536586","263.244787870629","279.235393265346","267.791494487012","265.649896155451","264.113622160421","263.244787870629","268.942561755705","260.91869860452","250.583782975593","259.653175425333","254.540900665509","257.527378756738","257.548996387203","258.013919655671","257.665489711554","265.824321863767","263.244787870629","259.216139204694","271.127825369336","275.817485898889","263.528873760281","263.536068296627","263.551331719844","276.814582337458","284.420226093499","277.327989171958","282.203542405552","279.653082064132","284.535618892833","277.731047591371","277.907166617655","276.393456724465","266.166918877807","253.196800754764","263.244787870629"
"26","2009","26","261.729209365489","263.253153901148","263.920796100331","269.814886894265","285.469549726868","262.380504259692","283.487301360668","268.048623899354","266.645338684706","265.711569628072","262.380504259692","270.18681462586","261.217549719186","252.000841084534","262.174782607577","256.214513091072","253.779817770819","254.001764370111","254.788324725001","254.889245999565","261.196832615708","262.380504259692","257.734348732978","269.563994824238","277.788409065932","262.729633728155","262.73296171658","262.751658164906","276.370057724397","286.195535638211","277.027078667637","284.664734714363","283.178213382296","285.833898043742","274.813410671955","273.858477237928","273.306779155584","261.2273604428","257.277214547857","262.380504259692"
"27","2009","27","264.129289291204","266.193913039397","266.535707568678","270.339841070041","287.844832263775","262.618779750586","287.522826188768","268.878199206708","267.57115482883","266.926834039656","262.618779750586","271.345018073285","262.38848481516","254.106331889149","263.940106964902","258.041693541133","254.106521286273","254.43844614811","255.140592448605","255.334768565027","259.353546316997","262.618779750586","258.190310026745","267.632825654469","284.665188263526","263.105354254269","263.108860551827","263.131631326781","277.623782366496","291.567781643508","278.55523083165","290.744215902185","282.481697952959","285.548558697","270.62270669146","273.537683843287","271.815935681693","259.286130140915","255.068776911269","262.618779750586"
"28","2009","28","266.411705390858","268.359563737259","268.301180650214","271.160599310326","289.30485434688","265.761248183066","286.749475511609","270.864911521752","267.660178994828","267.14612828533","265.761248183066","273.215531810084","264.02940688501","257.549043802539","265.606527168941","260.426603559768","264.056792770389","263.783351494378","263.589633139014","262.98384755988","262.757827241565","265.761248183066","262.835047342649","267.131598488924","282.645236483433","266.132863800135","266.133320692174","266.147383731177","273.296533994792","287.254691293464","274.240502072925","285.816877235844","274.004898695681","282.106982280698","268.811924589948","274.940479440126","274.986214993893","267.528549581689","248.583237221522","265.761248183066"
"29","2009","29","268.705951985605","268.749124425069","267.443761559167","271.70360707393","284.357469643604","267.301228697692","278.077423519987","266.900673380731","264.702723434942","264.956458611097","267.301228697692","268.864039401721","265.175443603488","261.712481528741","265.468544598299","263.385086354411","265.341450322887","265.611149847217","265.871733190797","265.878716092056","265.994269067359","267.301228697692","265.862920212131","271.085896417348","275.344701740678","267.485657463418","267.490768431729","267.49808574302","273.438048482675","281.375656032782","273.989846718861","278.541121472149","275.355349564528","280.357548525115","270.553869903538","276.015284354623","275.567467994793","267.502178479453","246.035480584253","267.301228697692"
"30","2009","30","268.19001417464","267.809596585373","267.914709054538","270.941439788702","278.180444962897","270.422879748557","276.464950618937","270.26339202617","270.749354044638","270.343436023173","270.422879748557","271.388159340207","266.703364574542","262.243605321087","269.303580705608","265.271076049878","270.450959936974","270.303226041887","270.316910999243","269.783786261908","270.588529568185","270.422879748557","269.133689588662","273.788156531667","276.356071376281","270.556512518794","270.558677701413","270.56592340486","276.694164102638","280.916508845882","276.967044450426","278.533646222839","278.350684675078","279.916700337204","273.520516336374","278.648911781463","277.489396077672","270.318458742867","255.38097260677","270.422879748557"
"31","2009","31","265.665045190829","265.552101610956","265.953092987835","269.515739260914","277.459369294041","271.875588261244","278.211373680392","267.117155479552","264.603650536998","264.769623188738","271.875588261244","269.197682976277","265.217488055892","266.494336163198","267.603025783833","267.317176300377","271.713418981354","272.078201461424","272.228280055912","271.930336932698","272.255933094417","271.875588261244","271.207044960577","277.248064540285","278.991718561856","272.034998834526","272.03676288847","272.038691295626","280.008612661919","282.230122819142","280.143947600424","279.950738448491","281.167607618108","279.330748163194","272.924099174784","277.721484792123","277.246480931354","269.506303900697","252.652611014861","271.875588261244"
"32","2009","32","268.910758482575","270.212115934658","270.661427901132","273.659478953347","278.448417066503","273.470110572096","279.283147553495","273.684527101787","274.770433194063","273.922923144939","273.470110572096","275.032727217643","269.779887333169","269.327665253764","272.964201267219","270.662050326333","269.910339823919","270.24306950274","270.491221899119","270.461464319245","272.007611065052","273.470110572096","271.598915531446","277.836461413648","280.915127298299","273.633342867249","273.634348607304","273.639692899429","281.605738568727","285.114838615563","281.810060781959","283.675976404116","283.860998060442","282.219498006108","274.680050343147","279.161849077087","277.274711632243","269.306631889166","254.294868168237","273.470110572096"
"33","2009","33","272.780801610727","274.294370072268","274.260555306361","276.533670855822","280.17461557811","272.52848732273","280.566886801762","274.791049945844","273.970063560606","273.335903471822","272.52848732273","275.638577911077","269.730980145636","268.338454260736","272.070614826066","269.799185343504","269.415723395444","269.342247034587","269.461052712056","269.354318363024","271.189273450612","272.52848732273","270.465485347854","275.472441675986","282.656668851632","272.752191185348","272.756445119007","272.763345723708","281.707947567385","288.39078194584","282.124743509434","287.406083211445","283.07922767681","281.321903473584","275.149462872299","279.813015383435","278.063080476805","272.062100028798","254.996846334365","272.52848732273"
"34","2009","34","270.738518374642","272.085169126622","271.063839840234","273.949287772584","280.574037488337","269.830797625723","277.142336735332","270.420693460633","268.124483263372","267.876736673676","269.830797625723","270.765210859375","266.386706091432","261.005178674671","266.914040544542","263.260325989024","270.231416357412","269.46723736421","269.239799455358","268.187868095514","271.339999345617","269.830797625723","267.93060815876","275.627392610294","276.074050949842","269.979053869905","269.980597352853","269.99091820084","278.21206934675","281.848305416928","278.443423945806","279.741707963675","280.815933121589","279.981767318208","274.815998132253","280.18896690061","278.994977964491","270.600025711232","250.451235196297","269.830797625723"
"35","2009","35","265.59809472793","267.394111520033","267.207499346719","269.906007193353","273.993415937428","268.00239706538","272.475828976075","267.406694065563","265.223353375761","265.12856281828","268.00239706538","267.401266728375","263.232525144712","258.670689546949","263.32756877484","260.431380326483","270.490108389","269.642258554616","269.272682351753","268.124974393741","270.369627419379","268.00239706538","266.48977614479","274.641546567658","272.751879837588","268.127210996473","268.131590009088","268.144653523073","276.9593761608","280.514156321912","277.193877741495","278.115918152659","281.801480356361","281.503769356574","275.306298682407","280.379069613559","279.812990882026","270.692850045894","245.824843894747","268.00239706538"
"36","2009","36","261.766795793958","262.504919589514","263.557059590093","266.847735754603","271.10370596393","269.848478541291","271.59541947778","265.264973914536","262.357210412883","262.617201786238","269.848478541291","266.166322167638","262.568666028594","261.220932361684","262.685993722156","262.263124889857","271.920721196657","271.758159823601","271.729399304827","270.88261069574","272.881598687247","269.848478541291","269.139970378701","277.31871704564","273.24042876973","269.941633182412","269.944702882758","269.952866331069","278.221867296578","280.2223612787","278.345628812977","277.960885615596","282.947695176292","282.968703821647","275.986415281013","278.810108458526","279.07875422654","270.981104753884","247.648838564721","269.848478541291"
"37","2009","37","262.207571712898","263.756187223237","265.043811747626","268.06092378157","273.716010242683","273.547152257302","275.306958916879","268.348876994824","267.442023294474","267.392456992179","273.547152257302","270.460428903638","265.807892027477","264.110453519352","267.882141059096","266.188045982831","273.271950702754","273.301525967433","273.481149878466","272.798008506744","275.301185291033","273.547152257302","272.220662123516","281.805504093947","278.117265738676","273.662285377657","273.663700953359","273.672230286291","284.509472599017","285.735297388031","284.571303746351","284.105576836276","287.932604239605","285.246853426562","277.746459642746","278.928614755528","278.940734787626","272.729476682168","254.131219246275","273.547152257302"
"38","2009","38","265.98623390914","267.591476689751","268.829854382921","274.025087384579","279.156136057934","277.405632786416","281.684591535766","275.158222360699","278.111893103528","277.575088983953","277.405632786416","277.611391760234","269.460650756404","269.859171696793","277.221870072857","273.252849041171","272.323110833673","272.410291883093","272.828060622881","272.631910109971","275.89903877818","277.405632786416","275.008261036901","284.771707397829","285.572454325725","277.585759141143","277.586682597283","277.595180464418","289.562669352233","289.085293457805","289.513725714284","288.323071318587","291.524097013179","286.429386151222","277.036787055535","278.989793218968","277.412918984965","270.743688646368","256.973977529842","277.405632786416"
"39","2009","39","273.983865309327","276.357320274913","276.657836597571","280.440163265162","281.856983153235","277.496066894292","285.605063261862","281.496053603708","283.324022147091","281.131553204143","277.496066894292","282.939561994841","270.149202002528","267.257161445674","276.317433765995","271.025386649147","270.605584944232","270.817892498741","271.26738539881","271.092382304738","274.952720483896","277.496066894292","273.288119623435","285.239332113084","289.119845749404","277.751572442571","277.753291280762","277.768111846254","289.710857968148","291.389091694537","289.828755834447","290.188837458401","290.533836085566","287.26581496829","277.04149308129","277.409477512754","276.15109345536","269.482939768729","255.515169628564","277.496066894292"
"40","2009","40","271.161564675816","273.285270592335","273.554048328557","278.007634965316","287.560797990728","278.369637892847","287.979126219419","278.250132429115","278.703606640223","277.887397872718","278.369637892847","281.276487003352","269.118452125687","270.054904487068","276.306114731395","272.980870100995","271.799197671474","272.513596335309","273.113712549761","273.297664701285","276.339090961037","278.369637892847","275.3806884735","284.782522203202","288.371258615507","278.586655100314","278.588890329231","278.595540157863","289.366800482907","291.259515014574","289.484413805395","290.318889914769","290.534740649862","284.606811253021","275.082508494679","277.115519618196","275.594867052698","270.185955368728","251.959658964234","278.369637892847"
"41","2009","41","271.124246565195","274.250856640404","274.77700878319","279.210521868249","287.647567247912","279.376813503596","286.994454570676","281.079883743369","285.246202769737","285.120752628253","279.376813503596","283.525508226065","273.888266296206","275.1630612411","283.808216440386","278.727197733875","270.804614253232","271.674353400249","272.529334449436","273.123818177534","275.964279043084","279.376813503596","276.75915645342","282.251456553652","291.046531199923","279.625532216105","279.627524549529","279.634342738112","288.825969321575","292.895571728719","289.098797508131","292.358907618549","288.673320682247","283.443894396474","272.825137479021","272.579043982105","272.056827023088","267.776354190621","248.655930112459","279.376813503596"
"42","2009","42","273.194801214477","278.01998342183","278.70055520712","284.777825988276","287.580501885115","278.122823433928","289.162247108006","284.471882502834","285.406967821611","285.183523475575","278.122823433928","285.547708087451","274.936938179054","273.64163562265","281.984089805555","276.391671442447","267.991784111252","269.079789615005","269.796785684705","270.361816619508","273.280767794649","278.122823433928","274.245660452369","282.110734493285","291.055601759129","278.402366986763","278.398830572523","278.414930036198","288.592909124145","293.484663395712","288.927387112498","293.052851120571","287.630968469492","281.449152379037","270.252760371356","275.362300004497","273.763889635627","267.733932405218","247.652213771257","278.122823433928"
"43","2009","43","275.515415197695","279.719943582838","279.430378665697","282.72318782906","288.83367485133","274.964452963875","284.999377511511","280.281512574545","278.64049451802","278.318349581828","274.964452963875","280.86928392129","273.818159669819","272.180326562715","276.515505477385","273.944171497153","266.484663205537","267.142181641656","267.917213100797","268.434138185171","271.204868866905","274.964452963875","271.780986090745","278.935920669494","284.905737699571","275.18162104837","275.175825105742","275.189450901258","284.025476379864","286.887855770782","284.226218579624","285.275348040359","284.842976830563","282.219428433169","271.27235634759","276.010182902529","274.086638298473","267.267310596876","253.145465879878","274.964452963875"
"44","2009","44","272.222303816193","274.791518817374","274.298126926688","277.110694269203","283.068438464651","272.916865369838","282.155086827537","276.454234964441","275.916627304735","275.573828327281","272.916865369838","277.697726096549","269.811508277597","269.113723584914","274.076159017164","270.63838284908","264.650523364815","264.838495369061","265.452631832251","265.497347402463","269.108801363213","272.916865369838","269.015497574394","280.654054610306","283.973091846419","273.15579384889","273.155355322898","273.166034143186","286.458244350935","289.690497392154","286.670474271476","288.976405426178","289.112280561785","285.511342355592","271.569957219202","275.591944790135","274.759035619737","266.988867851709","255.88923705822","272.916865369838"
"45","2009","45","269.148908632051","270.737879604498","270.872783221653","274.689810266061","284.552750386259","271.249310038206","286.12388831154","275.015081209035","275.741376516259","275.340522087656","271.249310038206","277.710283100218","268.306477273992","267.144980710743","274.069307140641","269.435243857775","263.414125432393","263.796005617691","264.456399546461","264.405402093807","266.875006944368","271.249310038206","267.499529394312","275.368294781448","286.671755351862","271.586452891851","271.591509764616","271.603551443475","283.952232389983","293.703115083327","284.607147679196","293.099291777443","284.403977301418","285.471477061539","272.09567323575","274.881011749303","273.329977134322","267.597177666825","258.937882279333","271.249310038206"
"46","2009","46","269.851535035335","272.208010417409","271.825194305858","275.121706150618","284.230404896475","270.204151138443","283.872461176406","274.442319496263","273.342784256084","273.282232185377","270.204151138443","275.513926306713","268.960821472422","264.272342621334","271.995240833113","266.691354266122","264.635844355972","264.985283496961","265.48630503463","265.327534488664","266.832774057916","270.204151138443","266.935759388216","274.997172775915","282.245623966928","270.481988871161","270.487816756538","270.491954608382","281.785963588262","290.968547328889","282.408318597941","290.828923035542","283.564224438675","284.137484788787","271.130619341732","277.338841477294","274.741826006282","267.896818876965","258.947845254317","270.204151138443"
"47","2009","47","269.657349023163","270.451559212888","270.284074522307","273.652458994116","282.828305775584","270.396391972305","280.28056889558","273.067771303182","273.690481554176","273.401994904876","270.396391972305","274.198755005805","268.445289345379","265.220585843382","271.253656399286","266.388065021949","266.238144825858","266.518941155847","266.913262383932","266.778534253762","268.538444425934","270.396391972305","267.623927001482","275.685558468307","278.801865997472","270.58871930523","270.594844739765","270.597837748063","279.834648245449","286.215507879264","280.265389984082","284.910995506398","282.352345258755","285.752274923666","274.25153461718","277.968410354585","276.406450332809","269.32284953618","261.582749658233","270.396391972305"
